Id;Function;threads;gpus;P;Q;mtxfmt;nb;transA;transB;m;n;k;lda;ldb;ldc;alpha;beta;seedA;seedB;seedC;tsub;time;gflops
0;dgemm;8;0;1;8;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;7.714063e+00;1.425334e+02
1;dgemm;8;0;1;8;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;7.592053e+00;1.448240e+02
2;dgemm;8;0;1;8;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;7.616459e+00;1.443600e+02
3;dgemm;8;0;1;8;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;7.598080e+00;1.447091e+02
0;dgemm;8;0;1;8;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;5.972067e+00;1.841091e+02
1;dgemm;8;0;1;8;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;5.967968e+00;1.842355e+02
2;dgemm;8;0;1;8;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;6.038006e+00;1.820985e+02
3;dgemm;8;0;1;8;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;6.075997e+00;1.809599e+02
0;dgemm;8;0;1;8;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;5.653014e+00;1.945001e+02
1;dgemm;8;0;1;8;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;5.747020e+00;1.913186e+02
2;dgemm;8;0;1;8;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;5.655593e+00;1.944114e+02
3;dgemm;8;0;1;8;0;1024;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;5.712020e+00;1.924908e+02
0;dgemm;8;0;1;8;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.780905e+01;6.173894e+01
1;dgemm;8;0;1;8;0;2048;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.762849e+01;6.237129e+01
2;dgemm;8;0;1;8;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.772894e+01;6.201791e+01
3;dgemm;8;0;1;8;0;2048;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.782427e+01;6.168620e+01
0;dgemm;8;0;1;8;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;6.641527e+01;1.655510e+01
1;dgemm;8;0;1;8;0;4096;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;6.651358e+01;1.653063e+01
2;dgemm;8;0;1;8;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;6.716471e+01;1.637038e+01
3;dgemm;8;0;1;8;0;4096;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;6.713196e+01;1.637836e+01
0;dgemm;8;0;1;8;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.623679e+02;4.190725e+00
1;dgemm;8;0;1;8;0;8192;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.628924e+02;4.182363e+00
2;dgemm;8;0;1;8;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.623034e+02;4.191755e+00
3;dgemm;8;0;1;8;0;8192;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.624917e+02;4.188748e+00
0;dgemm;16;0;1;4;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.433015e+00;2.480280e+02
1;dgemm;16;0;1;4;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.832472e+00;2.868936e+02
2;dgemm;16;0;1;4;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.154004e+00;2.646872e+02
3;dgemm;16;0;1;4;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.107002e+00;2.677163e+02
0;dgemm;16;0;1;4;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.812045e+00;3.910007e+02
1;dgemm;16;0;1;4;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.820012e+00;3.898961e+02
2;dgemm;16;0;1;4;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.880000e+00;3.817748e+02
3;dgemm;16;0;1;4;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.867002e+00;3.835057e+02
0;dgemm;16;0;1;4;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.794000e+00;3.935260e+02
1;dgemm;16;0;1;4;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.787020e+00;3.945116e+02
2;dgemm;16;0;1;4;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.806989e+00;3.917051e+02
3;dgemm;16;0;1;4;0;1024;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.780001e+00;3.955077e+02
0;dgemm;16;0;1;4;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;8.740003e+00;1.258022e+02
1;dgemm;16;0;1;4;0;2048;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;8.653013e+00;1.270669e+02
2;dgemm;16;0;1;4;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;8.618191e+00;1.275803e+02
3;dgemm;16;0;1;4;0;2048;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;8.685211e+00;1.265958e+02
0;dgemm;16;0;1;4;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.260307e+01;3.372418e+01
1;dgemm;16;0;1;4;0;4096;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.254846e+01;3.378076e+01
2;dgemm;16;0;1;4;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.278502e+01;3.353701e+01
3;dgemm;16;0;1;4;0;4096;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.282174e+01;3.349949e+01
0;dgemm;16;0;1;4;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.313955e+02;8.367958e+00
1;dgemm;16;0;1;4;0;8192;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.324081e+02;8.303961e+00
2;dgemm;16;0;1;4;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.323974e+02;8.304631e+00
3;dgemm;16;0;1;4;0;8192;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.337432e+02;8.221064e+00
0;dgemm;32;0;1;2;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.672513e+00;6.574009e+02
1;dgemm;32;0;1;2;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.711343e+00;6.424847e+02
2;dgemm;32;0;1;2;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.782351e+00;6.168883e+02
3;dgemm;32;0;1;2;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.807628e+00;6.082619e+02
0;dgemm;32;0;1;2;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.325246e+00;8.296659e+02
1;dgemm;32;0;1;2;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.303206e+00;8.436973e+02
2;dgemm;32;0;1;2;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.314453e+00;8.364784e+02
3;dgemm;32;0;1;2;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.392726e+00;7.894675e+02
0;dgemm;32;0;1;2;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.389413e+00;7.913499e+02
1;dgemm;32;0;1;2;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.479495e+00;7.431671e+02
2;dgemm;32;0;1;2;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.453371e+00;7.565252e+02
3;dgemm;32;0;1;2;0;1024;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.397566e+00;7.867330e+02
0;dgemm;32;0;1;2;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.285835e+00;2.565455e+02
1;dgemm;32;0;1;2;0;2048;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.284743e+00;2.566109e+02
2;dgemm;32;0;1;2;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.269831e+00;2.575071e+02
3;dgemm;32;0;1;2;0;2048;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.283459e+00;2.566878e+02
0;dgemm;32;0;1;2;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.636695e+01;6.717877e+01
1;dgemm;32;0;1;2;0;4096;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.618292e+01;6.794272e+01
2;dgemm;32;0;1;2;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.621748e+01;6.779795e+01
3;dgemm;32;0;1;2;0;4096;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.631766e+01;6.738169e+01
0;dgemm;32;0;1;2;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;6.570143e+01;1.673497e+01
1;dgemm;32;0;1;2;0;8192;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;6.577851e+01;1.671536e+01
2;dgemm;32;0;1;2;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;6.572064e+01;1.673008e+01
3;dgemm;32;0;1;2;0;8192;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;6.566203e+01;1.674502e+01
